epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6771708726882935,0.8731025457382202,0.001,0.7269260287284851,0.794755756855011
1,0.7535014152526855,0.6764476299285889,0.001,0.7993897795677185,0.5247093439102173
2,0.7804622054100037,0.5952364802360535,0.001,0.8230358362197876,0.48115265369415283
3,0.7885153889656067,0.5636408925056458,0.001,0.8314263820648193,0.450769305229187
4,0.8025209903717041,0.5284638404846191,0.001,0.8268497586250305,0.4626595675945282
5,0.8081232309341431,0.5251879096031189,0.001,0.8360030651092529,0.478842556476593
6,0.8079481720924377,0.5063631534576416,0.001,0.8276125192642212,0.47461122274398804
7,0.8254551887512207,0.46046850085258484,0.0005,0.8390541672706604,0.4381463825702667
8,0.8258053064346313,0.4647604525089264,0.0005,0.8474447131156921,0.4060225784778595
9,0.8359593749046326,0.44222450256347656,0.0005,0.8474447131156921,0.40086740255355835
10,0.8354341983795166,0.43283501267433167,0.0005,0.8466818928718567,0.40220364928245544
11,0.8406862616539001,0.43954986333847046,0.0005,0.8619374632835388,0.36749693751335144
12,0.8361344337463379,0.4256865382194519,0.0005,0.8489702343940735,0.4153449237346649
13,0.8412114977836609,0.4165603816509247,0.0005,0.8565980195999146,0.3682146370410919
14,0.843137264251709,0.42879074811935425,0.0005,0.8581235408782959,0.3502005934715271
